22
1;Apartment;Sofia, bul. Vitosha No.99;69;300000
2;Studio;Sofia, kv. Studentski grad str. 8;35;85000
3;House;Sofia, kv. Dragalevtsi ul. Zaharitsa 12;210;450000
4;Apartment;Sofia, kv. Ovcha Kupel ul. Montevideo 21;85;150000
5;Maisonette;Sofia, kv. Lozenets ul. Zlatovrah 4;140;380000
6;Apartment;Sofia, zh.k. Mladost 4 bl. 421;72;135000
7;Studio;Sofia, bul. Cherni Vrah 64;42;95000
8;House;Sofia, kv. Boyana ul. Belovodski pat;350;850000
9;Apartment;Sofia, zh.k. Lyulin 2 bl. 204;65;110000
10;Maisonette;Sofia, kv. Iztok ul. Joliot Curie 15;160;420000
11;Studio;Sofia, zh.k. Nadezhda 1 bl. 112;38;82000
12;Apartment;Sofia, bul. Tsarigradsko shose 115;90;175000
13;House;Sofia, kv. Simeonovo ul. 13-ta;180;320000
14;Apartment;Sofia, kv. Manastirski Livadi ul. Pirin 55;78;145000
15;Maisonette;Sofia, bul. Bulgaria 88;200;550000
16;Studio;Sofia, kv. Vitosha ul. Filip Kutev 10;40;90000
17;Apartment;Sofia, zh.k. Obelya 2 bl. 256;62;105000
18;House;Sofia, kv. Bankya ul. Stefan Stambolov 33;240;290000
19;Apartment;Sofia, bul. Slivnitsa 210;75;125000
20;Studio;Sofia, zh.k. Krasno Selo ul. Doyran 2;36;88000
21;Maisonette;Sofia, Center ul. Georgi Rakovski 130;130;360000
