26
1;Skoda;Fabia;Diesel;3000
2;Ford;Fiesta;Petrol;1000
3;Ford;Ka;Diesel;6000
4;Citroen;C4;Diesel;9000
5;Toyota;Corolla;Petrol;4500
6;Volkswagen;Golf;Diesel;5500
7;Honda;Civic;LPG;3800
8;Renault;Clio;Petrol;2200
9;Peugeot;308;Diesel;6500
10;Opel;Astra;LPG;3100
11;Hyundai;i30;Petrol;7000
12;Kia;Ceed;Diesel;7500
13;Dacia;Sandero;LPG;4000
14;Mazda;3;Petrol;8500
15;Nissan;Qashqai;Diesel;12000
16;BMW;320i;Petrol;15000
17;Audi;A4;Diesel;14000
18;Mercedes-Benz;C200;Petrol;16000
19;Fiat;Punto;LPG;1800
20;Seat;Leon;Diesel;8000
21;Volvo;V40;Diesel;9500
22;Suzuki;Swift;Petrol;3200
23;Chevrolet;Cruze;LPG;4200
24;Subaru;Impreza;Petrol;6800
25;Alfa Romeo;Giulietta;Diesel;7200
